"ReleaseIndex","Version","CommitId","SonarAnalysisKey","SonarRevision","FQCN","Class","NSmells"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.conf.SchemaGenerationSource","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SchemaGenerationSource.java","1"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.conf.SeqValue","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SeqValue.java","0"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.conf.Specification","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Specification.java","6"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.conf.SpecificationPlugin","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SpecificationPlugin.java","2"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.AbstractDataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java","14"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.AbstractQueryCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractQueryCache.java","9"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.CacheDistributionPolicy","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheDistributionPolicy.java","0"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.CacheStatistics","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatistics.java","12"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.CacheStatisticsImpl","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsImpl.java","0"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","1881d68c-2c8f-452b-8c6e-ee46e0c4e2cc","9a3db3eb463ab40a45485eec284d5e107a6a1f34","org.apache.openjpa.datacache.CacheStatisticsSPI","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsSPI.java","0"
