Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C2,NaiveBayes,2,12836,685,570,10256,1325,0.545816733068,0.340796019900,0.788987332872,0.340171178512,0.201990049751,1750165.000000000000,350033.000000000000,350518.000000000000,884,406,2010
C2,IBk,2,12836,1291,561,10265,719,0.697084233261,0.642288557214,0.899425811089,0.609992424917,0.622885572139,1750165.000000000000,350033.000000000000,350414.000000000000,2095,1252,2010
C3,RandomForest,2,12836,1580,439,10387,430,0.782565626548,0.786069651741,0.963316499895,0.744162412984,0.692039800995,1750165.000000000000,350033.000000000000,350048.000000000000,3494,1391,2010
C3,NaiveBayes,2,12836,804,773,10053,1206,0.509828788840,0.400000000000,0.805934717692,0.360191392168,0.210447761194,1750165.000000000000,350033.000000000000,350430.000000000000,1043,423,2010
C3,IBk,2,12836,1446,952,9874,564,0.603002502085,0.719402985075,0.824854735192,0.585451461669,0.558706467662,1750165.000000000000,350033.000000000000,350385.000000000000,2009,1123,2010
C4,RandomForest,2,12836,1546,669,10157,464,0.697968397291,0.769154228856,0.942419920534,0.679155220417,0.683084577114,1750165.000000000000,350033.000000000000,350301.000000000000,3104,1373,2010
C4,NaiveBayes,2,12836,764,700,10126,1246,0.521857923497,0.380099502488,0.789889183309,0.354667984465,0.250248756219,1750165.000000000000,350033.000000000000,350116.000000000000,1174,503,2010
C4,IBk,2,12836,1505,753,10073,505,0.666519043401,0.748756218905,0.906000295952,0.646712154194,0.640298507463,1750165.000000000000,350033.000000000000,350235.000000000000,2243,1287,2010
C1,RandomForest,3,12836,1449,283,10543,561,0.836605080831,0.720895522388,0.959946641263,0.736214499108,0.688059701493,1750165.000000000000,350033.000000000000,350081.000000000000,3139,1383,2010
C1,NaiveBayes,3,12836,746,689,10137,1264,0.519860627178,0.371144278607,0.804739120764,0.348040379368,0.200000000000,1750165.000000000000,350033.000000000000,350594.000000000000,935,402,2010
