IssueKey,FixCommitId,ParentCommitId,FixedFilePath,BlamedFilePath,BugIntroducingCommitId,BlamedLineCount
"OPENJPA-1570","d69fb9a65af2ef739981033a7e755f6b6bde7e2f","8f45b5bf0b20c1e371874defd0b9c20b6c0f58fa","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java","2798b0dd7304466fea04bff576188ea23ef7e05b",1
"OPENJPA-1575","d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69","b9d83ae33a9a7d0ef5780045d63fe08bcfd67d29","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","90b84c5d73db4d0d7fa3e5520358912961b59c43",2
"OPENJPA-1575","d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69","b9d83ae33a9a7d0ef5780045d63fe08bcfd67d29","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","b5a412fd426ca91d06d2a8a10c45b60070dd2674",1
"OPENJPA-1575","d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69","b9d83ae33a9a7d0ef5780045d63fe08bcfd67d29","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","c2afd1cefd4c54bed03ae06435c61ec05eb0ec8c",1
"OPENJPA-1575","d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69","b9d83ae33a9a7d0ef5780045d63fe08bcfd67d29","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java","ee30b010dcbd58258c5d940d121e02f70b8160d9",1
"OPENJPA-1575","d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69","b9d83ae33a9a7d0ef5780045d63fe08bcfd67d29","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/QueryExpressions.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/QueryExpressions.java","7a6d34e95f66e916e44b844b1ce6551ba8169539",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java","992ba73a7156efe8349639adcec7e714b359b99a",1
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLExceptions.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLExceptions.java","4991e6bdc22bdda1ac5d8bee44f9f3e73d94a2d0",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java","13c88d75cf0844d1dfb0bdfc0dc9a297c4d2745d",1
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java","7a6d34e95f66e916e44b844b1ce6551ba8169539",29
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/LockTimeoutException.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/LockTimeoutException.java","22a0f837e110d422b945e80148e2c0f85412fef1",1
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","22a0f837e110d422b945e80148e2c0f85412fef1",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","4be5a5a194e541059709c9efcdd07c26990ab673",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java","992ba73a7156efe8349639adcec7e714b359b99a",4
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PessimisticLockException.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PessimisticLockException.java","22a0f837e110d422b945e80148e2c0f85412fef1",1
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java","45651cee86e2b0fd09d9ba131c25b5f668c0412d",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java","b6e661e24a3f5993ba24df9819e61f8ed028a115",2
"OPENJPA-1578","1b20902b507ca7e7209132297266968a92e0d472","976508eed24aed7dfdbb9b4894cb3bdc6f938e8e","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryTimeoutException.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryTimeoutException.java","22a0f837e110d422b945e80148e2c0f85412fef1",1
"OPENJPA-1578","845f9b50187f2a14ceb3826561945edb8742988e","8a1e0307f242cc5b035db140c36ac134008a8aab","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java","4991e6bdc22bdda1ac5d8bee44f9f3e73d94a2d0",1
"OPENJPA-1578","845f9b50187f2a14ceb3826561945edb8742988e","8a1e0307f242cc5b035db140c36ac134008a8aab","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java","90b84c5d73db4d0d7fa3e5520358912961b59c43",1
"OPENJPA-1578","845f9b50187f2a14ceb3826561945edb8742988e","8a1e0307f242cc5b035db140c36ac134008a8aab","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java","c5cc2672190a2ff04d592fae108d6a6ceaec3e67",1
"OPENJPA-1580","13e3c48caea0c7c8125b72f398f6443ce231902f","15c64cb8f4db54346a10cc5c9183b3343db5c0b5","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java","41ce320cc0436552a0d90dd53ba8e875680e5225",2
"OPENJPA-1581","bd9b59c90f575b71a7167b48fadfb35ffa61449a","081baaa8568eb6a3514bcb7fbc87cab21be5be23","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java","90b84c5d73db4d0d7fa3e5520358912961b59c43",1
