Project,Class,ReleaseIndex,LOC,LOC_TOUCHED,NR,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE_WEEKS,WEIGHTED_AGE_WEEKS,IGNORED_ZERO_LOC_REVS,NSmells,NFIX,BUGGY
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XJoinColumns.java,1,11,279,7,1,157,53,22.428571,35,53,5.000000,3018,773,431.142857,14.857143,8.511521,2,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XSecondaryTable.java,1,17,295,7,1,171,53,24.428571,47,53,6.714286,3018,773,431.142857,14.857143,8.359806,2,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XSecondaryTables.java,1,10,184,5,1,109,36,21.800000,34,34,6.800000,2606,773,521.200000,8.142857,6.739907,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XTable.java,1,15,292,7,1,168,53,24.000000,44,53,6.285714,3018,773,431.142857,14.857143,8.389922,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DataCache.java,1,12,274,6,1,156,53,26.000000,38,53,6.333333,2542,773,423.666667,14.857143,8.584463,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DataStoreId.java,1,12,271,6,1,154,53,25.666667,37,53,6.166667,2542,773,423.666667,14.857143,8.607802,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Dependent.java,1,11,265,6,1,150,53,25.000000,35,53,5.833333,2542,773,423.666667,14.857143,8.656065,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DetachedState.java,1,12,271,6,1,154,53,25.666667,37,53,6.166667,2542,773,423.666667,14.857143,8.607802,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ElementDependent.java,1,11,265,6,1,150,53,25.000000,35,53,5.833333,2542,773,423.666667,14.857143,8.656065,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ElementType.java,1,11,270,6,1,153,53,25.500000,36,53,6.000000,2542,773,423.666667,14.857143,8.614286,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ExternalValues.java,1,11,273,6,1,155,53,25.833333,37,53,6.166667,2542,773,423.666667,14.857143,8.590790,2,0,0,NO
OPENJPA,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Externalizer.java,1,11,270,6,1,153,53,25.500000,36,53,6.000000,2542,773,423.666667,14.857143,8.614286,2,0,0,NO
