IssueKey,FixCommitId,Status,EvidenceRows,FixedFiles,BugIntroducingCommits,BlamedLines,SameIssueFixRowsSkipped,SameIssueFixBlamedLinesSkipped
"OPENJPA-1185","f74c5d7a69fb3dda67fb26c1c0250d48e29fe359",EVIDENCE,30,11,24,272,0,0
"OPENJPA-1189","6c2e3e2d03e22f0d0f9ffc4a35aef186f1070928",EVIDENCE,11,7,7,32,0,0
"OPENJPA-119","d826caf71175811a23214b4e23545aee7625d7ed",EVIDENCE,3,3,2,3,0,0
"OPENJPA-1200","bb7048d27c55141851d7f9496f17aae407eca4e4",EVIDENCE,3,1,3,8,0,0
"OPENJPA-1201","ee9210be92ff0279aeed80460ead1f2a279c6f6e",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1204","ec483537da504f3ea5c4371fe096ba636211c0c6",EVIDENCE,1,1,1,2,0,0
"OPENJPA-121","d2c748d1094f295243c7a3b9efe2b937d8bc9b0b",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1211","5432ffecbb765de57791f414aa88c9dd88cd55c6",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1211","5f83298a9541a5a60ac8e4b3f44d1e541ed90039",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1211","aa72c08d4469c3e7635e972d99674e2b9f30e407",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1218","655ec577e9d0452d06a7ce74d6571a810605e220",EVIDENCE,2,2,1,4,0,0
"OPENJPA-122","862cd158ed5acee7361881860548c03444d01dd6",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1224","3067245dac166500fd0cc15c445f222334afba27",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1224","63a3408d7d291fd3c965500c33fabf2189530d65",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1224","781654af6044d7c3854d2e9d4ace73999081ba9d",NO_EVIDENCE,0,0,0,0,1,7
"OPENJPA-1224","c06481b4527a8e6903ebe62df9c040171435fbf5",EVIDENCE,2,2,1,2,0,0
"OPENJPA-1226","a4a94f5331993bc50bf1f2168246e91c2864141f",EVIDENCE,2,2,2,2,0,0
"OPENJPA-1227","201701459ab6a3fa8fd715700855f11e756436cf",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1227","416b8d3ccb65f8ecf612513489ed78e5cebe8641",NO_EVIDENCE,0,0,0,0,0,0
